Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2014	1,049.86
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2013	1,132.56
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2012	1,206.02
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2011	1,307.37
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2010	1,335.94
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2009	1,371.35
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2008	1,433.59
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2007	1,569.35
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2006	1,602.92
Average expenditure per person	Quintile 5	06 Health	2023	1,122.15
Average expenditure per person	Quintile 5	06 Health	2022	1,113.03
Average expenditure per person	Quintile 5	06 Health	2021	1,106.20
Average expenditure per person	Quintile 5	06 Health	2020	907.07
Average expenditure per person	Quintile 5	06 Health	2019	904.20
Average expenditure per person	Quintile 5	06 Health	2018	872.33
Average expenditure per person	Quintile 5	06 Health	2017	830.49
Average expenditure per person	Quintile 5	06 Health	2016	835.96
Average expenditure per person	Quintile 5	06 Health	2015	933.57
Average expenditure per person	Quintile 5	06 Health	2014	987.19
Average expenditure per person	Quintile 5	06 Health	2013	873.32
Average expenditure per person	Quintile 5	06 Health	2012	914.34
Average expenditure per person	Quintile 5	06 Health	2011	849.53
Average expenditure per person	Quintile 5	06 Health	2010	905.42
Average expenditure per person	Quintile 5	06 Health	2009	895.10
Average expenditure per person	Quintile 5	06 Health	2008	923.20
Average expenditure per person	Quintile 5	06 Health	2007	831.86
Average expenditure per person	Quintile 5	06 Health	2006	734.06
Average expenditure per person	Quintile 5	07 Transport	2023	4,108.70
Average expenditure per person	Quintile 5	07 Transport	2022	4,108.58
Average expenditure per person	Quintile 5	07 Transport	2021	3,610.58
Average expenditure per person	Quintile 5	07 Transport	2020	3,123.00
Average expenditure per person	Quintile 5	07 Transport	2019	4,069.86
Average expenditure per person	Quintile 5	07 Transport	2018	3,967.27
Average expenditure per person	Quintile 5	07 Transport	2017	3,785.26
Average expenditure per person	Quintile 5	07 Transport	2016	3,335.40
Average expenditure per person	Quintile 5	07 Transport	2015	3,234.83
Average expenditure per person	Quintile 5	07 Transport	2014	3,322.33
Average expenditure per person	Quintile 5	07 Transport	2013	2,990.66
Average expenditure per person	Quintile 5	07 Transport	2012	3,179.95
Average expenditure per person	Quintile 5	07 Transport	2011	3,431.94
Average expenditure per person	Quintile 5	07 Transport	2010	3,528.77
Average expenditure per person	Quintile 5	07 Transport	2009	3,474.19
Average expenditure per person	Quintile 5	07 Transport	2008	4,256.55
Average expenditure per person	Quintile 5	07 Transport	2007	4,434.77
Average expenditure per person	Quintile 5	07 Transport	2006	4,383.98
Average expenditure per person	Quintile 5	08 Communication	2023	515.67
Average expenditure per person	Quintile 5	08 Communication	2022	521.64
Average expenditure per person	Quintile 5	08 Communication	2021	528.49
Average expenditure per person	Quintile 5	08 Communication	2020	537.44
Average expenditure per person	Quintile 5	08 Communication	2019	550.34
Average expenditure per person	Quintile 5	08 Communication	2018	547.18
Average expenditure per person	Quintile 5	08 Communication	2017	531.26
Average expenditure per person	Quintile 5	08 Communication	2016	505.37
Average expenditure per person	Quintile 5	08 Communication	2015	450.45
Average expenditure per person	Quintile 5	08 Communication	2014	449.96
Average expenditure per person	Quintile 5	08 Communication	2013	463.33
Average expenditure per person	Quintile 5	08 Communication	2012	485.14
Average expenditure per person	Quintile 5	08 Communication	2011	513.22
Average expenditure per person	Quintile 5	08 Communication	2010	525.58
Average expenditure per person	Quintile 5	08 Communication	2009	531.32
Average expenditure per person	Quintile 5	08 Communication	2008	543.07
Average expenditure per person	Quintile 5	08 Communication	2007	519.96
Average expenditure per person	Quintile 5	08 Communication	2006	484.83
Average expenditure per person	Quintile 5	09 Recreation and culture	2023	1,701.66
Average expenditure per person	Quintile 5	09 Recreation and culture	2022	1,509.70
Average expenditure per person	Quintile 5	09 Recreation and culture	2021	1,255.85
Average expenditure per person	Quintile 5	09 Recreation and culture	2020	1,108.04
Average expenditure per person	Quintile 5	09 Recreation and culture	2019	1,577.20
Average expenditure per person	Quintile 5	09 Recreation and culture	2018	1,561.87
Average expenditure per person	Quintile 5	09 Recreation and culture	2017	1,564.84
Average expenditure per person	Quintile 5	09 Recreation and culture	2016	1,476.17
Average expenditure per person	Quintile 5	09 Recreation and culture	2015	1,494.28
Average expenditure per person	Quintile 5	09 Recreation and culture	2014	1,443.78
Average expenditure per person	Quintile 5	09 Recreation and culture	2013	1,441.54
Average expenditure per person	Quintile 5	09 Recreation and culture	2012	1,509.28
Average expenditure per person	Quintile 5	09 Recreation and culture	2011	1,637.59
Average expenditure per person	Quintile 5	09 Recreation and culture	2010	1,687.51
Average expenditure per person	Quintile 5	09 Recreation and culture	2009	1,768.58
Average expenditure per person	Quintile 5	09 Recreation and culture	2008	1,794.14
Average expenditure per person	Quintile 5	09 Recreation and culture	2007	1,813.64
Average expenditure per person	Quintile 5	09 Recreation and culture	2006	1,678.20
Average expenditure per person	Quintile 5	10 Education	2023	497.62
Average expenditure per person	Quintile 5	10 Education	2022	418.19
Average expenditure per person	Quintile 5	10 Education	2021	421.75
Average expenditure per person	Quintile 5	10 Education	2020	442.46
Average expenditure per person	Quintile 5	10 Education	2019	465.19
Average expenditure per person	Quintile 5	10 Education	2018	432.02
Average expenditure per person	Quintile 5	10 Education	2017	388.16
Average expenditure per person	Quintile 5	10 Education	2016	394.36
Average expenditure per person	Quintile 5	10 Education	2015	407.45
Average expenditure per person	Quintile 5	10 Education	2014	390.91
Average expenditure per person	Quintile 5	10 Education	2013	410.45
Average expenditure per person	Quintile 5	10 Education	2012	345.39
Average expenditure per person	Quintile 5	10 Education	2011	332.15
Average expenditure per person	Quintile 5	10 Education	2010	322.51
Average expenditure per person	Quintile 5	10 Education	2009	295.58
Average expenditure per person	Quintile 5	10 Education	2008	286.80
Average expenditure per person	Quintile 5	10 Education	2007	287.28
Average expenditure per person	Quintile 5	10 Education	2006	295.92
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2023	3,229.90
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2022	2,875.65
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2021	2,261.39
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2020	1,780.83
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2019	2,663.16
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2018	2,717.34
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2017	2,749.11
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2016	2,515.73
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2015	2,438.49
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2014	2,228.48
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2013	2,110.99
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2012	2,211.24
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2011	2,328.37
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2010	2,305.49
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2009	2,352.80
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2008	2,472.90
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2007	2,530.58
Average expenditure per person	Quintile 5	11 Restaurants and hotels	2006	2,379.83
Average expenditure per person	Quintile 5	12 Other goods and services	2023	1,907.74
Average expenditure per person	Quintile 5	12 Other goods and services	2022	1,846.94
Average expenditure per person	Quintile 5	12 Other goods and services	2021	1,729.39
Average expenditure per person	Quintile 5	12 Other goods and services	2020	1,748.51
Average expenditure per person	Quintile 5	12 Other goods and services	2019	1,866.84
Average expenditure per person	Quintile 5	12 Other goods and services	2018	1,870.40
Average expenditure per person	Quintile 5	12 Other goods and services	2017	1,824.07
Average expenditure per person	Quintile 5	12 Other goods and services	2016	1,792.74
Average expenditure per person	Quintile 5	12 Other goods and services	2015	1,710.97
Average expenditure per person	Quintile 5	12 Other goods and services	2014	1,766.69
Average expenditure per person	Quintile 5	12 Other goods and services	2013	1,702.99
Average expenditure per person	Quintile 5	12 Other goods and services	2012	1,773.19
Average expenditure per person	Quintile 5	12 Other goods and services	2011	1,752.73
Average expenditure per person	Quintile 5	12 Other goods and services	2010	1,765.82
Average expenditure per person	Quintile 5	12 Other goods and services	2009	1,901.73
Average expenditure per person	Quintile 5	12 Other goods and services	2008	1,879.11
Average expenditure per person	Quintile 5	12 Other goods and services	2007	1,943.51
Average expenditure per person	Quintile 5	12 Other goods and services	2006	1,961.90
Distribution (vertical percentages)	Total	Overall index	2023	100.00
Distribution (vertical percentages)	Total	Overall index	2022	100.00
Distribution (vertical percentages)	Total	Overall index	2021	100.00
Distribution (vertical percentages)	Total	Overall index	2020	100.00
Distribution (vertical percentages)	Total	Overall index	2019	100.00
Distribution (vertical percentages)	Total	Overall index	2018	100.00
Distribution (vertical percentages)	Total	Overall index	2017	100.00
Distribution (vertical percentages)	Total	Overall index	2016	100.00
Distribution (vertical percentages)	Total	Overall index	2015	100.00
Distribution (vertical percentages)	Total	Overall index	2014	100.00
Distribution (vertical percentages)	Total	Overall index	2013	100.00
Distribution (vertical percentages)	Total	Overall index	2012	100.00
Distribution (vertical percentages)	Total	Overall index	2011	100.00
