Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2005QI	224,814
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2004QIV	221,355
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2004QIII	216,525
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2004QII	212,367
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2004QI	209,190
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2003QIV	205,584
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2003QIII	202,014
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2003QII	199,288
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2003QI	195,380
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2002QIV	191,698
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2002QIII	188,931
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2002QII	186,170
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2002QI	182,753
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2001QIV	180,040
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2001QIII	176,927
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2001QII	173,291
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2001QI	170,735
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2000QIV	166,992
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2000QIII	163,227
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2000QII	160,232
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2000QI	157,400
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1999QIV	153,809
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1999QIII	149,860
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1999QII	147,105
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1999QI	144,949
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1998QIV	143,999
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1998QIII	139,892
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1998QII	137,644
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1998QI	134,458
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1997QIV	134,821
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1997QIII	130,564
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1997QII	127,719
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1997QI	126,164
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1996QIV	124,949
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1996QIII	123,582
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1996QII	121,212
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1996QI	119,460
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1995QIV	117,799
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1995QIII	115,628
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1995QII	114,401
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	1995QI	112,760
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2025QIV	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2025QIII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2025QII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2025QI	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2024QIV	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2024QIII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2024QII	0.8642
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2024QI	1.4371
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2023QIV	2.8664
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2023QIII	0.8921
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2023QII	0.5375
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2023QI	2.7722
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2022QIV	3.7639
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2022QIII	1.2244
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2022QII	2.3698
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2022QI	0.9090
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2021QIV	4.6378
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2021QIII	3.5092
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2021QII	1.5458
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2021QI	1.2899
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2020QIV	1.2891
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2020QIII	16.6616
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2020QII	-17.8378
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2020QI	-5.2702
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2019QIV	1.1327
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Quarterly variation rate	2019QIII	0.4238
