"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,31 XII 1994,,Edf,U,34083,1725,[=>],[0-4],,1697,,1795,,2074,,2726,,3608,,3822,,3394,,2840,,2389,,1845,,1417,,1375,,1181,,911,,565,,423,,296,[=>],[85+],,[85+],,[85+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20 VI 1966,,Edf,U,6898,1386,[=>],[0-10],,[0-10],,591,,435,,1172,,[21-30],,1127,[=>],[31-40],,898,[=>],[41-50],,620,,[51-60],,277,,392,,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,-
,,,21 XI 1981,,Edf,U,17332,71,,922,,1594,,1393,,1317,,1752,,1834,,1598,,1281,,992,,947,,922,,839,,592,,495,,354,,237,,117,,75,[=>],[85+],,[85+],,[85+],,-
,,,30 IX 1986,,Edf,U,21818,112,,963,,1558,,1746,,1599,,2087,,2385,,2175,,1819,,1464,,1105,,1078,,1019,,924,,661,,509,,357,,212,,45,[=>],[85+],,[85+],,[85+],,-
,,,31 VII 1987,,Edf,U,22555,73,,892,,1562,,1747,,1683,,2053,,2511,,2248,,1871,,1566,,1169,,1111,,1054,,948,,774,,516,,390,,228,,157,[=>],[85+],,[85+],,[85+],,2
,,,31 XII 1988,,Edf,U,23813,209,,890,,1606,,1795,,1747,,2070,,2586,,2406,,1984,,1690,,1329,,1120,,1149,,993,,849,,537,,409,,268,,150,[=>],[85+],,[85+],,[85+],,26
,,,30 VI 1989,,Edf,U,23837,113,,908,,1541,,1696,,1777,,1966,,2533,,2423,,2001,,1741,,1428,,1127,,1119,,1017,,923,,542,,467,,294,,221,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1990,,Edf,U,24550,109,,1002,,1489,,1731,,1837,,1874,,2535,,2481,,2131,,1854,,1472,,1205,,1120,,1090,,948,,632,,491,,301,,183,,37,,20,,8,,-
,,,1 VII 1991,,Edf,U,26851,126,,1097,,1519,,1744,,1949,,2431,,3015,,2788,,2310,,1932,,1625,,1219,,1215,,1108,,983,,696,,509,,322,,163,,69,,21,,-,,10
,,,31 XII 1992,,Edf,U,28864,1578,[=>],[0-4],,1495,,1775,,1970,,2780,,3325,,3060,,2430,,2051,,1713,,1331,,1248,,1159,,989,,795,,507,,336,,322,[=>],[85+],,[85+],,[85+],,-
,,,31 XII 1993,,Edf,U,30407,1634,[=>],[0-4],,1514,,1818,,1996,,2714,,3450,,3296,,2725,,2229,,1848,,1519,,1258,,1239,,1061,,839,,537,,362,,368,[=>],[85+],,[85+],,[85+],,-
,,,31 XII 1994,,Edf,U,30228,1589,[=>],[0-4],,1546,,1718,,1869,,2586,,3392,,3309,,2766,,2218,,1907,,1596,,1242,,1214,,1086,,905,,530,,392,,363,[=>],[85+],,[85+],,[85+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,30755,124,,1126,,2036,,2349,,2340,,2713,,3513,,3362,,2717,,2277,,1649,,1547,,1398,,1156,,897,,649,,489,,261,,147,[=>],[85+],,[85+],,[85+],,5
,,,,31 XII 1988,Edf,U,31871,251,,1146,,2054,,2365,,2369,,2733,,3476,,3482,,2863,,2458,,1819,,1517,,1454,,1203,,980,,686,,509,,302,,180,[=>],[85+],,[85+],,[85+],,24
,,,,30 VI 1989,Edf,U,47855,219,,1826,,2999,,3435,,3578,,3855,,5064,,5021,,4166,,3657,,2893,,2247,,2212,,1983,,1760,,1144,,898,,537,,361,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,48939,227,,2030,,2928,,3421,,3648,,3718,,4959,,5158,,4396,,3768,,3047,,2384,,2277,,2066,,1797,,1201,,953,,560,,295,,66,,25,,15,,-
,,,,1 VII 1991,Edf,U,54285,241,,2193,,2986,,3396,,3916,,4961,,6249,,5927,,4897,,4034,,3308,,2442,,2399,,2163,,1852,,1314,,960,,603,,271,,122,,28,,1,,22
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,16254,81,,583,,1053,,1208,,1191,,1367,,1889,,1888,,1497,,1264,,888,,810,,748,,583,,434,,343,,241,,132,,51,[=>],[85+],,[85+],,[85+],,3
,,,,31 XII 1988,Edf,U,16802,123,,614,,1047,,1227,,1211,,1383,,1844,,1915,,1598,,1377,,962,,802,,777,,608,,477,,354,,255,,137,,85,[=>],[85+],,[85+],,[85+],,6
,,,,30 VI 1989,Edf,U,25145,108,,954,,1524,,1822,,1860,,1958,,2629,,2705,,2268,,1994,,1537,,1174,,1162,,1047,,892,,634,,463,,264,,150,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,25614,125,,1063,,1500,,1786,,1888,,1904,,2540,,2788,,2373,,2002,,1660,,1247,,1226,,1053,,912,,608,,492,,280,,122,,29,,7,,9,,-
,,,,1 VII 1991,Edf,U,28866,123,,1150,,1533,,1750,,2049,,2630,,3385,,3279,,2701,,2207,,1788,,1292,,1248,,1147,,935,,665,,484,,305,,118,,54,,8,,1,,14
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,14501,43,,543,,983,,1141,,1149,,1346,,1624,,1474,,1220,,1013,,761,,737,,650,,573,,463,,306,,248,,129,,96,[=>],[85+],,[85+],,[85+],,2
,,,,31 XII 1988,Edf,U,15069,128,,532,,1007,,1138,,1158,,1350,,1632,,1567,,1265,,1081,,857,,715,,677,,595,,503,,332,,254,,165,,95,[=>],[85+],,[85+],,[85+],,18
,,,,30 VI 1989,Edf,U,22710,111,,872,,1475,,1613,,1718,,1897,,2435,,2316,,1898,,1663,,1356,,1073,,1050,,936,,868,,510,,435,,273,,211,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,23325,102,,967,,1428,,1635,,1760,,1814,,2419,,2370,,2023,,1766,,1387,,1137,,1051,,1013,,885,,593,,461,,280,,173,,37,,18,,6,,-
,,,,1 VII 1991,Edf,U,25419,118,,1043,,1453,,1646,,1867,,2331,,2864,,2648,,2196,,1827,,1520,,1150,,1151,,1016,,917,,649,,476,,298,,153,,68,,20,,-,,8
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,17129,63,,729,,1182,,1288,,1145,,1448,,1850,,1671,,1464,,1226,,833,,848,,842,,767,,672,,457,,319,,197,,126,[=>],[85+],,[85+],,[85+],,2
,,,,31 XII 1988,Edf,U,18657,169,,719,,1242,,1376,,1231,,1526,,2034,,1806,,1576,,1354,,1011,,910,,958,,844,,761,,477,,338,,211,,102,[=>],[85+],,[85+],,[85+],,12
,,,,30 VI 1989,Edf,U,2482,2,,73,,142,,154,,114,,149,,225,,220,,229,,187,,168,,129,,160,,168,,131,,93,,70,,43,,25,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,2703,19,,72,,133,,182,,142,,137,,245,,248,,229,,233,,182,,157,,166,,163,,147,,107,,69,,42,,22,,3,,1,,4,,-
,,,,1 VII 1991,Edf,U,3273,21,,113,,151,,188,,172,,228,,355,,338,,260,,269,,217,,161,,177,,188,,153,,127,,73,,49,,21,,7,,1,,-,,4
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,9075,33,,380,,603,,682,,611,,741,,963,,897,,813,,673,,425,,474,,438,,392,,361,,247,,177,,98,,65,[=>],[85+],,[85+],,[85+],,2
,,,,31 XII 1988,Edf,U,9913,88,,361,,643,,719,,642,,806,,1080,,967,,857,,745,,539,,505,,486,,446,,415,,272,,183,,108,,47,[=>],[85+],,[85+],,[85+],,4
,,,,30 VI 1989,Edf,U,1355,-,,37,,76,,71,,55,,80,,127,,113,,126,,109,,96,,75,,91,,87,,76,,61,,38,,22,,15,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,1478,12,,37,,76,,86,,65,,77,,129,,137,,118,,145,,97,,89,,97,,82,,84,,68,,39,,21,,14,,3,,-,,2,,-
,,,,1 VII 1991,Edf,U,1841,13,,61,,85,,90,,90,,128,,204,,198,,146,,164,,112,,92,,112,,96,,87,,79,,40,,25,,11,,6,,-,,-,,2
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31 VII 1987,Edf,U,8054,30,,349,,579,,606,,534,,707,,887,,774,,651,,553,,408,,374,,404,,375,,311,,210,,142,,99,,61,[=>],[85+],,[85+],,[85+],,-
,,,,31 XII 1988,Edf,U,8744,81,,358,,599,,657,,589,,720,,954,,839,,719,,609,,472,,405,,472,,398,,346,,205,,155,,103,,55,[=>],[85+],,[85+],,[85+],,8
,,,,30 VI 1989,Edf,U,1127,2,,36,,66,,83,,59,,69,,98,,107,,103,,78,,72,,54,,69,,81,,55,,32,,32,,21,,10,[=>],[85+],,[85+],,[85+],,-
,,,,30 VI 1990,Edf,U,1225,7,,35,,57,,96,,77,,60,,116,,111,,111,,88,,85,,68,,69,,81,,63,,39,,30,,21,,8,,-,,1,,2,,-
,,,,1 VII 1991,Edf,U,1432,8,,52,,66,,98,,82,,100,,151,,140,,114,,105,,105,,69,,65,,92,,66,,48,,33,,24,,10,,1,,1,,-,,2
,Austria - Autriche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1950,,Edj,C,6931500,100900,,421800,,532300,,527200,,445600,,487600,,519800,,354400,,482600,,540800,,542800,,489300,,406800,,348100,,290500,,221300,,134700,,61300,,23700,[=>],[85+],,[85+],,[85+],,-
,,,1 VI 1951,,Cdj,C,6933905,98751,,431040,,513402,,543504,,440212,,486248,,517342,,372430,,463142,,536666,,541449,,493362,,409717,,349672,,291999,,220177,,136098,,61331,,23432,[=>],[85+],,[85+],,[85+],,3931
,,,1 VII 1952,,Edj,C,6948600,98800,,415600,,502100,,582600,,430000,,480600,,506200,,424000,,410500,,529600,,538100,,505600,,422900,,351700,,296700,,222500,,141800,,64100,,25200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edj,C,6958500,98100,,399100,,504100,,603600,,425800,,473200,,497000,,472200,,362000,,524200,,533900,,514100,,433400,,354300,,300300,,225000,,145600,,66500,,26100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edj,C,6968500,96600,,387400,,502200,,599300,,449300,,462700,,490400,,505000,,331200,,514600,,530500,,519100,,444600,,359300,,303400,,227500,,148900,,69200,,27300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edj,C,6974100,95300,,379200,,508600,,558500,,498100,,449500,,485100,,514500,,335900,,491200,,527700,,521100,,455900,,367900,,303600,,230100,,151300,,72000,,28600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edj,C,6982500,108200,,389400,,514200,,510300,,541900,,433600,,477400,,507200,,370100,,450000,,520900,,519500,,464800,,376000,,304300,,234800,,154300,,105600,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1957,,Edj,C,6996900,114100,,399400,,505100,,495300,,575400,,423200,,472000,,497000,,416800,,401300,,514100,,515600,,474100,,384600,,305600,,238000,,155700,,78700,,30900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edj,C,7020600,114500,,414300,,490800,,497200,,595100,,418200,,464000,,487700,,463400,,353700,,509200,,512300,,482800,,394700,,308500,,241800,,158200,,81500,,32700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edj,C,7048700,117900,,430600,,482400,,495100,,589500,,440500,,452600,,480100,,494300,,323400,,500100,,509800,,488200,,405700,,313200,,245100,,160900,,84400,,34900,[=>],[85+],,[85+],,[85+],,-
,,,21 III 1961,,Cdj,C,7073807,123547,,460069,,487468,,513321,,517111,,516322,,409398,,460830,,492731,,346721,,448275,,504581,,492755,,426733,,330188,,248814,,167264,,88917,,37924,[=>],[85+],,[85+],,[85+],,838
,,,1 VII 1962,,Edj,C,7129852,128620,,475628,,509545,,498566,,498265,,566963,,398378,,452884,,481199,,403447,,389744,,496924,,490556,,439633,,341895,,252504,,172375,,90956,,40938,[=>],[85+],,[85+],,[85+],,832
,,,1 VII 1963,,Edj,C,7172068,130467,,489230,,527748,,485197,,499068,,590204,,397098,,444075,,472405,,448835,,343438,,492308,,487621,,447289,,350817,,255252,,175277,,92559,,42354,[=>],[85+],,[85+],,[85+],,826
,,,1 VII 1964,,Edj,C,7215400,632600,[=>],[0-4],,547700,,478600,,494800,,588500,,424000,,431600,,465500,,480000,,314000,,483100,,485500,,452000,,360200,,259500,,178200,,94500,,44300,[=>],[85+],,[85+],,[85+],,800
,,,1 VII 1965,,Edj,C,7254986,128675,,510918,,568092,,480027,,499104,,550070,,476547,,417140,,459664,,488938,,318240,,460993,,483816,,454277,,369884,,265697,,179277,,96666,,46143,[=>],[85+],,[85+],,[85+],,818
,,,1 VII 1966,,Edj,C,7290420,126122,,514536,,585616,,490992,,505860,,508213,,527160,,404183,,454285,,484424,,351893,,423665,,479344,,454928,,378554,,272914,,180586,,98853,,47479,[=>],[85+],,[85+],,[85+],,813
,,,1 VII 1967,,Edj,C,7322821,124972,,1024502,,601014,,508265,,496701,,494951,,563086,,395182,,448412,,475047,,396150,,378321,,474496,,453699,,386921,,279785,,182839,,101101,,48819,[=>],[85+],,[85+],,[85+],,809
,,,1 VII 1968,,Edj,C,7349497,123889,,1013644,,616249,,526154,,483071,,495412,,585962,,393654,,439376,,466004,,440400,,333087,,469990,,451247,,393270,,286544,,184727,,102909,,49926,[=>],[85+],,[85+],,[85+],,804
,,,1 VII 1969,,Edj,C,7372858,120998,,499943,,629043,,545877,,476306,,490898,,584193,,420318,,426738,,458902,,470611,,304387,,461158,,449426,,396789,,293351,,187313,,104569,,51238,[=>],[85+],,[85+],,[85+],,800
,,,1 VII 1970,,Edj,C,7390930,114248,,492583,,636160,,566252,,477832,,495160,,546043,,472723,,412389,,452971,,479318,,308676,,439899,,448051,,398644,,300252,,191145,,105137,,52647,[=>],[85+],,[85+],,[85+],,800
,,,12 V 1971,,Cdj,C,7456403,107165,,486413,,643388,,585366,,511456,,528888,,486315,,503199,,406906,,455073,,480909,,339397,,413520,,446838,,402232,,305467,,195026,,105529,,53316,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edj,C,7468489,103646,,464813,,640284,,603490,,525353,,517533,,480302,,541701,,396133,,448714,,470186,,388206,,364601,,442392,,401695,,315042,,201016,,107804,,55578,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edj,C,7475976,98869,,444518,,634083,,618986,,538155,,507016,,489051,,560409,,393412,,439970,,462428,,431092,,321885,,439566,,400781,,321865,,206583,,109702,,57605,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edj,C,7480158,95689,,422375,,623317,,633134,,552882,,501792,,493179,,557327,,416318,,427838,,456063,,460579,,294827,,433094,,400475,,327042,,212579,,112248,,59400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edj,C,7519891,94500,,406038,,608821,,642764,,574003,,511769,,511400,,526494,,465711,,416644,,451794,,470219,,299305,,414800,,400432,,330953,,218629,,115249,,60366,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edj,C,7512995,89803,,392039,,589896,,643724,,590272,,518753,,524546,,488919,,509864,,403362,,446835,,466180,,331057,,381522,,398509,,333316,,224802,,118462,,61134,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edj,C,7518342,86180,,377983,,568797,,640524,,607957,,533704,,522275,,483156,,541975,,394463,,441971,,457806,,372858,,341138,,396727,,334118,,231879,,122026,,62805,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edj,C,7508417,85259,,364390,,543343,,634354,,623152,,546016,,511561,,491739,,560308,,391799,,433190,,450236,,413959,,301349,,395123,,334586,,237771,,125695,,64587,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edj,C,7503314,85791,,353180,,518250,,623724,,637508,,561186,,506725,,496255,,557410,,414777,,421381,,443980,,442223,,276392,,390310,,335476,,242490,,129481,,66665,[=>],[85+],,[85+],,[85+],,110
,,,1 VII 1980,,Edj,C,7505151,88615,,344646,,498431,,608145,,646852,,578371,,508362,,509078,,522649,,460599,,408159,,438204,,450971,,280847,,374716,,336686,,246683,,133918,,69219,[=>],[85+],,[85+],,[85+],,-
,,,12 V 1981,,Cdj,C,7555338,92432,,338980,,479103,,600049,,658182,,606624,,517656,,529296,,486782,,502481,,400650,,438081,,451364,,307664,,349953,,338936,,249659,,137536,,69910,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edj,C,7507721,92479,,343278,,480056,,589458,,648288,,595415,,516156,,522828,,485915,,504701,,395539,,433306,,447193,,311199,,345060,,336621,,249767,,138825,,71637,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edj,C,7510000,94516,,349435,,461637,,567984,,644798,,611403,,528023,,518612,,478779,,535253,,386167,,428092,,438876,,350662,,308640,,336464,,252012,,144336,,74311,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edj,C,7551842,91766,,357464,,440976,,548862,,644663,,637688,,550478,,507274,,487119,,557755,,387744,,424374,,433443,,392270,,273034,,337939,,254269,,149030,,75694,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edj,C,7552551,452869,[=>],[0-4],,430771,,521083,,633842,,650777,,568641,,501997,,490676,,554107,,410477,,413332,,427795,,419242,,251462,,335107,,257162,,153667,,79544,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edj,C,7555340,87039,,365280,,426942,,498334,,619096,,658668,,588012,,503841,,502728,,518637,,456179,,400270,,422982,,427323,,257166,,321596,,260084,,157575,,83588,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edj,C,7564668,85693,,361101,,431276,,477919,,601618,,660012,,606186,,514853,,516624,,481573,,500528,,388632,,419086,,423860,,287170,,297374,,262369,,161240,,87554,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edj,C,7573201,84661,,354675,,440219,,458539,,581266,,656332,,622435,,531201,,513208,,474267,,531200,,380374,,414836,,416501,,324518,,267198,,264212,,165089,,92470,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1988,,Edj,C,7595358,85919,,350119,,449204,,445087,,556844,,652241,,639742,,548787,,504074,,483115,,549859,,378899,,408591,,410116,,361309,,237525,,267137,,168837,,97953,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edj,C,7617779,86970,,348689,,454939,,436664,,531330,,644488,,655068,,568151,,499875,,487858,,547260,,402200,,398995,,405500,,386531,,220331,,267191,,172747,,102992,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1990,,Edj,C,7711512,88335,,353579,,460407,,439459,,518703,,645662,,674601,,594897,,506774,,504310,,515730,,449619,,388708,,403006,,395472,,228114,,258961,,177184,,81735,,21773,,4483,[=>],[95+],,-
,,,15 V 1991,,Cdj,C,7795786,91686,,361596,,461735,,441789,,502449,,648499,,698779,,624515,,529163,,529412,,478631,,485637,,377167,,397810,,392626,,249523,,242039,,175518,,80802,,22990,,3420,[=>],[95+],,-
,,,1 VII 1991,,Edj,C,7822589,91239,,360837,,461538,,451095,,508311,,645866,,689602,,621577,,523245,,522936,,483144,,495849,,379826,,401216,,393980,,256536,,240798,,180986,,85317,,23813,,4878,[=>],[95+],,-
,,,1 VII 1992,,Edj,C,7883644,93154,,367297,,457407,,463543,,492524,,632667,,693929,,642405,,542315,,521930,,477805,,527288,,373088,,398487,,387999,,290848,,217126,,184321,,88359,,25833,,5319,[=>],[95+],,-
,,,1 VII 1994,,Edj,C,8029717,93542,,378809,,463654,,477405,,463458,,588339,,716683,,705660,,600740,,523648,,495567,,541547,,394030,,380869,,375067,,342360,,179530,,187731,,88894,,32184,[=>],[90+],,[90+],,-
,,,1 VII 1995,,Edj,C,8046535,89554,,379718,,463522,,478853,,458680,,560225,,702857,,718473,,620904,,528245,,509684,,509227,,437559,,370691,,371222,,350083,,186745,,183854,,92520,,33919,[=>],[90+],,[90+],,-
,,,1 VII 1996,,Edj,C,8059385,87641,,375898,,464937,,474950,,462885,,532814,,684745,,722681,,641772,,540601,,525733,,474324,,480432,,360578,,368408,,348271,,210607,,170205,,96608,,35295,[=>],[90+],,[90+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1950,,Edj,C,3215600,51600,,216000,,270400,,267900,,226900,,242100,,223200,,151400,,212100,,244200,,255800,,223900,,175400,,148400,,123500,,92800,,55900,,25100,,9000,[=>],[85+],,[85+],,[85+],,-
,,,1 VI 1951,,Cdj,C,3217240,50339,,220558,,261103,,276100,,223882,,243511,,223610,,158957,,203006,,241544,,254364,,226770,,176741,,149003,,123656,,92051,,56165,,25069,,8940,[=>],[85+],,[85+],,[85+],,1871
,,,1 VII 1952,,Edj,C,3225200,50600,,212100,,255800,,296200,,218300,,243900,,224400,,180300,,178700,,237200,,250300,,234500,,182800,,149400,,124600,,92400,,58100,,26100,,9500,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edj,C,3232000,50600,,203600,,257200,,306900,,215800,,241200,,227500,,200300,,156700,,233500,,246200,,239700,,188800,,149900,,125300,,93000,,59300,,26700,,9800,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edj,C,3238800,49800,,198200,,256400,,304700,,227700,,235900,,232500,,213900,,142500,,227600,,242400,,242500,,196000,,151400,,125600,,93800,,60200,,27500,,10200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edj,C,3243800,49100,,194600,,260000,,283700,,252700,,228800,,237200,,219300,,143600,,215800,,238500,,243300,,203700,,154300,,125000,,94400,,60700,,28400,,10700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edj,C,3249900,55200,,199000,,263000,,259500,,275400,,220100,,238800,,219500,,157700,,197000,,233800,,242000,,210100,,157800,,124800,,94600,,61100,,40500,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1957,,Edj,C,3258600,58600,,203900,,257800,,252300,,292700,,214500,,239000,,220000,,177200,,174500,,229600,,238100,,216100,,162000,,124700,,94900,,61100,,30200,,11400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edj,C,3270000,58800,,211100,,250400,,253600,,302600,,211400,,235800,,222700,,196300,,152900,,226200,,234500,,221200,,167400,,125300,,95600,,61400,,30900,,11900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edj,C,3283800,60300,,219600,,246200,,252800,,299400,,222400,,229800,,226900,,208800,,139000,,220600,,231300,,224200,,173800,,126600,,95900,,62100,,31600,,12500,[=>],[85+],,[85+],,[85+],,-
,,,21 III 1961,,Cdj,C,3296400,63262,,234889,,248586,,262503,,263212,,264582,,207329,,228637,,210500,,146804,,194468,,223980,,225589,,185764,,131584,,95775,,62926,,32563,,13089,[=>],[85+],,[85+],,[85+],,358
,,,1 VII 1962,,Edj,C,3325451,65858,,243345,,259654,,254463,,253927,,289959,,202020,,228436,,211808,,169712,,167730,,219173,,222131,,193524,,136478,,96462,,63857,,32689,,13870,[=>],[85+],,[85+],,[85+],,355
,,,1 VII 1963,,Edj,C,3347424,66509,,250353,,268969,,247487,,254515,,301267,,201829,,224842,,215044,,188067,,146904,,216045,,218704,,197960,,140900,,96644,,64089,,32902,,14042,[=>],[85+],,[85+],,[85+],,352
,,,1 VII 1964,,Edj,C,3369900,323100,[=>],[0-4],,279200,,244100,,252500,,299700,,216100,,218500,,219500,,201000,,133600,,210400,,215800,,200500,,146100,,97500,,64200,,33300,,14500,[=>],[85+],,[85+],,[85+],,300
,,,1 VII 1965,,Edj,C,3390822,65600,,260735,,289907,,244732,,254980,,279335,,243433,,210808,,223443,,206203,,134471,,199318,,212635,,201679,,151736,,99086,,63791,,33653,,14929,[=>],[85+],,[85+],,[85+],,348
,,,1 VII 1966,,Edj,C,3409922,64349,,262283,,299255,,250146,,258313,,257889,,269268,,204088,,225736,,207363,,147770,,181987,,208774,,201287,,156855,,101282,,63838,,33837,,15256,[=>],[85+],,[85+],,[85+],,346
,,,1 VII 1967,,Edj,C,3427662,63814,,521812,,307337,,258903,,253230,,251469,,287097,,199763,,225454,,208296,,165706,,161294,,205743,,199011,,161631,,103885,,64189,,34041,,15549,[=>],[85+],,[85+],,[85+],,344
,,,1 VII 1968,,Edj,C,3442602,63505,,516478,,314903,,268055,,246094,,251845,,298134,,199426,,221705,,211230,,183382,,141047,,202796,,196061,,165093,,106922,,64043,,34039,,15741,[=>],[85+],,[85+],,[85+],,342
,,,1 VII 1969,,Edj,C,3455922,61909,,255215,,321075,,278211,,242607,,249707,,296510,,213511,,215220,,215445,,195739,,128182,,197496,,193495,,166853,,110329,,64184,,33907,,15987,[=>],[85+],,[85+],,[85+],,340
,,,1 VII 1970,,Edj,C,3466806,58451,,251681,,324401,,288824,,243342,,252116,,276368,,240763,,207611,,219142,,200785,,129047,,186997,,190706,,167757,,113976,,64777,,33571,,16151,[=>],[85+],,[85+],,[85+],,340
,,,12 V 1971,,Cdj,C,3501719,55083,,249038,,329082,,299749,,259718,,268441,,245814,,254294,,204654,,224826,,204339,,141845,,174921,,188659,,168775,,117309,,65795,,33249,,16128,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edj,C,3509579,53075,,238200,,327023,,309502,,267475,,261556,,242989,,273601,,199189,,224735,,205192,,161228,,152892,,186069,,167159,,121956,,67577,,33720,,16441,[=>],[85+],,[85+],,[85+],,-
